complaint_id,complaint,complaints_type,label
24001,The advert shows a Kiwi crossing a pedestrian crossing| and nearly getting runover.The cars should have stopped and allowed Kiwi to cross lawfully.Its a bad example to show our people| they should stop for all crossing pedestrian crossing I believe.,Unknown,1
24002,The Complainant was concerned the alcohol advertisements were inappropriately placed during the film A Star is Born  which featured a storyline about alcohol addiction  including the suicide of that character .,Unknown,3
24003,The Complainant was concerned the alcohol advertisements were inappropriately placed during the film A Star is Born  which featured a storyline about alcohol addiction  including the suicide of that character .,Unknown,3
24004,The Complainant was concerned the alcohol advertisements were inappropriately placed during the film A Star is Born  which featured a storyline about alcohol addiction  including the suicide of that character .,Unknown,3
24005,The Complainant was concerned the alcohol advertisements were inappropriately placed during the film A Star is Born  which featured a storyline about alcohol addiction  including the suicide of that character .,Unknown,3
24006,The image in this advertisement shows people operating advanced cinema style |cameras| and they are advertising for the Diploma in Film and Content Creation course. I |have done this course and we did not touch equipment anywhere near as advanced as what |is shown in this image. The cameras we were loaned were old entry level Canon 200Ds and |the most advance being a single Panasonic GH5. The image in the advertisement shows an |Alexa which is nowhere near what we were introduced to. Potential students will think they |will learn on advanced camera equipment but the reality is very different. They are probably |showing equipment from a different higher level course.,Unknown,3
24007,This advert shows a man picking his nose. Completely inappropriate and disgusting! I don’t want to see that and especially around dinner time!!,Unknown,5
24008,Glow body is advertising its acupuncture services as a treatment for fertility |issues despite there being no evidence that acupuncture can treat this condition.,Unknown,5
24009,Ad shows a person driving using mobile phone which gives the impression that this a legal act when it is not..,Unknown,5
24010,They advertise the car as having android Auto. They do not inform buyers there |is no android auto. They say go to cga and try your luck if we complain. Please stop more |buyers from falling for this blatant  misadvertisement and breach of the ASA. I am willing to |forward any and all correspondance from them in this behalf,Unknown,5
24011,"The advertisement is for the Mitsufishi Burger and the catch phase is ""with you for a good time not a long time""...There are a couple of issues with this:1) Cultural appropriation 2) The catch phase is clearly a derogatory sexual reference to Asian females that has been frequently used in western movies and has racial undertones. I believe this advertising campaign needs to be altered and an apology issued. Ruling",Unknown,1
24012,Advertising flights to Norfolk Island from $199 but when you try to book $880 is |the cheapest available. This was a Facebook ad| not even advertised on their own page| |feels like just trying to lure people to their page and wasting our time.,Unknown,5
24013,The Complainant was concerned the TAB advertisement about betting on horses was inappropriately placed during an episode of the programme Coronation Street which featured a storyline about a gambling addict . They were offended by the advertisement,Unknown,3
24014,My complaint is that I received a personalized offer from Apple for a free trial |that turned out to only be valid in the US| the conditions in the e -mail did not state this.,Unknown,5
24015,The Complain ant is concerned the advertisement is misleading  given that they were charged  $15 for their dental prescription .  The Complainant said the advertisement does not make it  clear  which prescriptions are eligible for the free offer.,Unknown,1
24016,"I found the terminology referring to recent necessary and medically recommended vaccine mandates| social distancing| and isolation as ""discrimination"" and ""segregation"" needlessly antagonistic and conspiratorially minded| and has no place in business advertising| as it has nothing to do with the services offered. It only serves to incite charged discourse and useless| unfounded speculation on political and medical affairs wholly unrelated to the business and services offered. I found the advert to be distressing| and anxiety inducing| especially in a time that the nation is attempting to heal| and get past disagreements as to best medical practice in global pandemics.",Unknown,5
24017,The Complainant was concerned the advertisement condoned driving in an irresponsible manner and a disregard for the impact on nature and the environment.,Unknown,5
