decision_id,complaint_number,advertiser,advertisement,date_of_meeting,complaint_id,complaints,label,len(complaints),adver_id,adver_,adver_type,len_adver,Unnamed: 13
20006,20-Jun,COMPLAINT ON BEHALF OF :,Alcohol Healthwatch,15/01/2021,20001,This complaint r elates to an alcohol advertisement for Effen Vodka| placed on a billboard |located on the corner of Onslow and Sandringham Roads in Kingsland| Auckland. The |billboard is located directly opposite Kowhai Intermediate School located at 26 Onslow Rd| |occupying the other corner of Onslow and Sandringham Roads. Photographs of the billboard |are appended. |Principle 3 of the Code for Advertising and Promotion of Alcohol states: |Alcohol advertising and promotions shall be directed at adult audiences. Alcohol advertis ing |and promotions shall not be directed at minors nor have strong or evident appeal to minors in |particular. This applies to both content and placement. |Given the placement of the billboard in very close proximity to Kowhai Intermediate School| |we submit that this placement is inconsistent with Principle 3 of the Code for Advertising and |Promotion of Alcohol. The placement of the billboard also raises concerns around social |responsibility. We request that the Complaints Board Chair consider whether the |advertisement should be considered under Principle 1 (with reference to guideline 1g) of the |Code for Advertising and Promotion of Alcohol| Principle 1 (Rule 1i| targeting children) of the |Children and Young People 's Advertising Code| and Principle 1 of the A dvertising Standards |Code. |We submit that placing| and continuing to place| alcohol advertisements in close proximity to |schools is inconsistent with a high standard of social responsibility| and ask that the |Complaints Board consider whether this advertis ement breaches the advertising codes |referred to above. We ask that the Complaints Board seek a response from the media |company along with the alcohol company.,3,1761,20000.0,: The billboard advertisement for Effen Vodka shows product shots of three |bottles of vodka with images of the fruit flavouring behind the bottles.,,150,
20007,20-Jul,COMPLAINANT L Twentyman,Brand Developers Ltd,16/01/2021,20002,"The Complainant said the advertisement portrays an unsafe si tuation because it is unsafe to wear gloves while drillin g, due to the risk of entanglement, and this practice is against standard industry practice. Issues Raised : • Social Responsibility ",3,475,,,,0,
20010,20-Oct,Fonterra Brands (New Zealand),Limited,17/01/2021,20003,"Complaint Details: The unsaid campaign I believe attempts to circumvent transparency by h aving a silent ad with no clear audible authorised by ""NZTA"" for example at the end. To me, it is a clear attempt to influence the result of the referendum based on the advertising spots chosen by demographic on swing votes. Based on the political nature o f the advertisement I believe the add should be pulled from broadcast and compensatory broadcast of both sides of the debate. I don’t disagree with the facts stated simply do not believe that the add is transparent and the message is being corrupted to hij ack and potentially politically influence the outcome of the referendum. As the add is political in nature therefore I ask that it be treated to more stringent standards stating more clearly that they are individuals stories and who Unsaid are and their in terests with funding from the NZTA. It is not clear at all and took some digging for me to find out more details. Many people will not bother. Those people need to have all the above -mentioned information available audibly at the very least, at the end of the ad.",3,212,,,,0,
20011,20-Nov,Rug Doctor,"Rug Doctor, Television",18/01/2021,20004,This video TVC infers the Rug Doctor cleans carpet using steam. It doesn 't heat |water. It doesn 't use steam.,0,130,20001.0,": The Rug Doctor television advertisement begins by asking viewers when |the last time they cleaned their carpet was ? The advertisement states that Rug Doctor is |New Zealand's most tru sted carpet cleaner and ends with the phrase ""Rug Doctor| steaming |mad at dirt !"".",,271,
20016,20/016,NZ National Party,"NZ National Party, Twitter",21/04/2020,20005,The Complainant said the advertisement is misleading by presenting a truncated graph which exaggerates the reduction and increase in unemployment levels under the National and Labour Governments. The Complainant said the advertisement also misleads by inferring that the number of people on the dole is the same as the number of people unemployed when they are not the same thing. Issues Raised : • Truthful Presentation • Advocacy Advertising,1,468,,,,0,
20017,20/017,COMPLAIN ANT D Anton & C Clark,ADVERTISER Griffins,22/04/2020,20006,"There were two complaints about this ad vertisement. The Complainant s were concerned the advertisement was irresponsible becau se it encourages children to participate in an unsafe activity, sliding down the stairs in a cardboard box. Issues Raised : • Social R esponsibility • Safety",0,239,20002.0,is to showcase t o parents| the joy of inter -active imagin ative play.,,71,
20021,20/021,The Griffin's Food Company,"Toffee Pops, Television",31/08/2020,20007,Thank you that you take the time to read this letter| sent on behalf of many| |about the advertising by Griffins recently (late June 2020) referencing reincarnation. This is |most distasteful| and if griffins continue| and hope they do not| advertising using the ideas |around reincarnation| and its effects and affects.,5,337,20003.0,": The Peanut Choc Toffee Pop s television advertisement shows a plate of |toffee pops with t wo animated biscuits talk ing to each other. One biscuit says to the other | I |hear you believe in reincarnation "" Each time a biscuit is taken from the pla te and eaten| the |animated face appear s on another biscuit and says| when you are this deliciously peanutty| |you sort of have to"". The tagline at the end of the advertisement says: Peanut Choc Toffee |Pops| more than a little moreish.""",,501,
20025,20/025,Foodstuffs North Island,PAKnSAVE Television,19/01/2020,20008,The Complainant was concerned the advertisement was misleading because comparing prices between PAK’nSAVE Kilbirnie and Countdown Newtown is not the fairest comparison . Issues Raised : • Truthful presentation • Comparative advertising,1,277,20004.0,"The television advertisement for PAKnSAVE describe d how 淩ebecca""conducted a shop -|off""by filling her trolley at PAKnSAVE Kilbirnie and then at Countdown Newtown. Both trolley |loads were conducted on 12 October 2020. The 淏asket Total""for PAKnSAVE Kilbirnie was |$313.44 and for Countdown Newtown was $350.32. PAKnSAVE Kilbirnie was declared the |winner| with a saving of $36. 88. The voiceover ended the advertisement with e?PAKnSAVE |""our policy - still New Zealand's lowest food prices"" The text across the bottom of the |advertisement said Groceries selected by Rebecca. Equivalent (not exact) shops conducted. |Weighted produc ts and pack sizes equalised. Check out the shopping list and other benefits |received at paknsave.co.nz""",,762,
20027,20/027,NatuneHeal,Digital Marketing,11/09/2020,20009,"NatuneHeal is based in Wellington offer Biotuning Sound Frequency Therapy |which they describe as Osteophonic Treatments with Tuning Forks"" Exactly what they do |with their tuning forks is not clear from the website description| alt hough they say| Tuning |forks| singing bowls| drums| rattles and voice toning are just some of the Sound Healing |tools…e?They make several therapeutic claims for this treatment. I think this procedure |comes under their heading of Integrative Quantum Energ y Healing""for which they charge |$79 for 90 minutes. It is| they say| excellent for restoring flexibility and movement in the |joints| ligaments| tissues| nervous system; and| for helping with painful or degenerative |illnesses such as fibromyalgia| muscula r dystrophy and others.""I think this is a breach of |Therapeutic Codes rule 2(a) that advertisements are truthful and claims shall be able to be |substantiated.""",0,939,20005.0,: The NatuneHeal digital marketing advertisement promotes their Spiritual |Quantum Energy Healing. The advertisement states that as part of the 1st session| |customers receive an initia l consultation| chakra scan| chakra re balancing| sound frequency |healing| energetic re balancing| and alignment quantum code activation,,324,
20028,20/028,COMPLA INANT B Summers,ADVERTISER Great Moscow Circus,12/09/2020,20010,The Complaina nt was concerned the adve rtisement was misleading because it showed a picture of a pol ar bear when there wasn ’t a polar bear in the circus.,1,276,,,,0,
